x y z
0.2 -2.3 1296.437393
0.2 -2.2 1268.49252
0.2 -2.1 1239.103148
0.2 -2 1208.225471
0.2 -1.9 1175.799923
0.2 -1.8 1141.75222
0.2 -1.7 1105.99391
0.2 -1.6 1068.422483
0.2 -1.5 1028.921113
0.2 -1.4 987.3580628
0.2 -1.3 943.5857317
0.2 -1.2 897.4392865
0.2 -1.1 848.7346469
0.2 -1 797.26537
0.2 -0.9 742.7974756
0.2 -0.8 685.0602547
0.2 -0.7 623.7289923
0.2 -0.6 558.3908547
0.2 -0.5 488.4740245
0.2 -0.4 413.0907406
0.2 -0.3 330.6559024
0.2 -0.2 237.8243251
0.2 -0.1 126.753162
0.2 0 54.03072487
0.2 0.1 30.30941432
0.2 0.2 17.69910232
0.2 0.3 11.88132854
0.2 0.4 6.929400803
0.2 0.5 2.297115199
0.2 0.6 -1.652281181
0.2 0.7 -5.067057275
0.2 0.8 -7.958012993
0.2 0.9 -10.24249138
0.2 1 -12.01406779
0.2 1.1 -13.46383544
0.2 1.2 -14.72207676
0.2 1.3 -15.86127429
0.2 1.4 -16.92193825
0.2 1.5 -17.92836488
0.2 1.6 -18.89596314
0.2 1.7 -19.83509139
0.2 1.8 -20.75316305
0.2 1.9 -21.65586349
0.2 2 -22.54793636
0.2 2.1 -23.43376404
0.2 2.2 -24.31781563
0.2 2.3 -25.20486146
0.2 2.4 -26.09961858
0.2 2.5 -27.00546989
0.2 2.6 -27.92270681
0.2 2.7 -28.84790185
0.2 2.8 -29.77529135
0.2 2.9 -30.69890048
0.2 3 -31.61387475
0.2 3.1 -32.51680232
0.2 3.2 -33.40551417
0.2 3.3 -34.27875904
0.2 3.4 -35.1359172
0.2 3.5 -35.97678868
0.2 3.6 -36.8014469
0.2 3.7 -37.61014029
0.2 3.8 -38.40322678
0.2 3.9 -39.18113012
0.2 4 -39.94431086
0.2 4.1 -40.69324697
0.2 4.2 -41.42842091
0.2 4.3 -42.15031111
0.2 4.4 -42.85938634
0.2 4.5 -43.5561022
0.2 4.6 -44.24089893
0.2 4.7 -44.91420019
0.2 4.8 -45.5764125
0.2 4.9 -46.22792516
0.2 5 -46.86911041
0.2 5.1 -47.50032388
0.2 5.2 -48.12190508
0.2 5.3 -48.73417804
0.2 5.4 -49.33745197
0.2 5.5 -49.93202193
0.2 5.6 -50.51816955
0.2 5.7 -51.09616364
0.2 5.8 -51.66626092
0.2 5.9 -52.22870658
0.2 6 -52.78373497
0.2 6.1 -53.33157012
0.2 6.2 -53.87242629
0.2 6.3 -54.40650856
0.2 6.4 -54.93401324
0.2 6.5 -55.45512837
0.2 6.6 -55.97003419
0.2 6.7 -56.47890352
0.2 6.8 -56.98190213
0.2 6.9 -57.47918916
0.2 7 -57.97091745
0.2 7.1 -58.45723382
0.2 7.2 -58.93827945
0.2 7.3 -59.41419009
0.2 7.4 -59.8850964
0.2 7.5 -60.35112415
0.2 7.6 -60.81239452
0.2 7.7 -61.26902424
0.2 7.8 -61.72112591
0.2 7.9 -62.1688081
0.2 8 -62.61217561
0.3 -8 1545.352726
0.3 -7.9 1543.536147
0.3 -7.8 1541.719729
0.3 -7.7 1539.902256
0.3 -7.6 1538.08249
0.3 -7.5 1536.259166
0.3 -7.4 1534.430986
0.3 -7.3 1532.596607
0.3 -7.2 1530.754639
0.3 -7.1 1528.903633
0.3 -7 1527.04207
0.3 -6.9 1525.168351
0.3 -6.8 1523.280789
0.3 -6.7 1521.377587
0.3 -6.6 1519.45683
0.3 -6.5 1517.516465
0.3 -6.4 1515.55428
0.3 -6.3 1513.567881
0.3 -6.2 1511.554668
0.3 -6.1 1509.511799
0.3 -6 1507.436159
0.3 -5.9 1505.324314
0.3 -5.8 1503.172461
0.3 -5.7 1500.976369
0.3 -5.6 1498.731307
0.3 -5.5 1496.431958
0.3 -5.4 1494.072317
0.3 -5.3 1491.645562
0.3 -5.2 1489.143903
0.3 -5.1 1486.558389
0.3 -5 1483.878678
0.3 -4.9 1481.092745
0.3 -4.8 1478.186513
0.3 -4.7 1475.143397
0.3 -4.6 1471.943723
0.3 -4.5 1468.563982
0.3 -4.4 1464.975895
0.3 -4.3 1461.145201
0.3 -4.2 1457.030133
0.3 -4.1 1452.579489
0.3 -4 1447.730244
0.3 -3.9 1442.404713
0.3 -3.8 1436.507369
0.3 -3.7 1429.92176
0.3 -3.6 1422.508436
0.3 -3.5 1414.105574
0.3 -3.4 1404.534761
0.3 -3.3 1393.614306
0.3 -3.2 1381.180268
0.3 -3.1 1367.110516
0.3 -3 1351.342221
0.3 -2.9 1333.873795
0.3 -2.8 1314.750256
0.3 -2.7 1294.039912
0.3 -2.6 1271.812498
0.3 -2.5 1248.124486
0.3 -2.4 1223.012007
0.3 -2.3 1196.489062
0.3 -2.2 1168.548489
0.3 -2.1 1139.163892
0.3 -2 1108.29159
0.3 -1.9 1075.872173
0.3 -1.8 1041.831549
0.3 -1.7 1006.081511
0.3 -1.6 968.5198679
0.3 -1.5 929.0302216
0.3 -1.4 887.4814093
0.3 -1.3 843.7266296
0.3 -1.2 797.6021789
0.3 -1.1 748.9256192
0.3 -1 697.4929683
0.3 -0.9 643.0740701
0.3 -0.8 585.4044302
0.3 -0.7 524.1700166
0.3 -0.6 458.9777452
0.3 -0.5 389.2960589
0.3 -0.4 314.3313815
0.3 -0.3 232.7694968
